web-scraper-order,web-scraper-start-url,user_id,user_name,rating,rating-x,kategori,reviews,like,timestamp
"1752462696-1265","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/28218792","istywulans","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Sakit di pake","Membantu?","2024-09-03 09:48 | Variasi: 41"
"1752462696-1266","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/157530263","ezrawayoi","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: bagusKualitas: originalCocok Untuk: lari long run dan easy run","","Membantu?","2024-03-17 13:26 | Variasi: 43"
"1752462696-1267","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/343469556","kemal2929","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kegunaan: Sangat cocok untuk JoggingKeaslian: Original pastinya","","1","2024-09-25 06:37 | Variasi: 41"
"1752462696-1268","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Alhamdulillah barang yang di tunggu akhirnya tiba, koreksi lagi di ekpedisi nya lebih baik menggunakan jnt tau shopeexpres karna lebih cepat dan amanah","Membantu?","2024-02-10 07:10 | Variasi: 44"
"1752462696-1269","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/312171192","damayanti201325","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Finally...pengiriman luamaaa, reply chatt nya pun slow response, packaging rapi (kardus dibungkus bubble wrap),kualitas barang tidak sesuai ekspektasi. Tehnik pengelemannya kasar sekali untuk sepatu harga 600K an. Tapi menurut anak saya comfortable dibawa running. Semoga awet...baru kali ini kasih bintang 4 ke shopee mall","2","2024-03-07 19:51 | Variasi: 41"
"1752462696-1270","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Cocok Untuk: Daily TrainPerforma: belum dicobaKualitas: Baik","Kaki ukuran 27.5 cm cocok juga di ukuran 43 ini.  Belum dicoba lari, nanti sy update kalau ada sesuatu. Overall good","6","2024-01-19 18:21 | Variasi: 43"
"1752462696-1271","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Performa: bagusCocok Untuk: lariKualitas: mantep","kualitas tidak usah diragukan","5","2024-04-03 12:38 | Variasi: 42"
"1752462696-1272","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","Kualitas: okPerforma: okCocok Untuk: all","Bagus baik","1","2024-01-15 10:01 | Variasi: 41"
"1752462696-1273","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/726528512","khairulumamy88","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","Ukuran pas, looknya menarik dan nyaman dipakai 👍👍","Membantu?","2024-09-26 14:53 | Variasi: 43"
"1752462696-1274","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/393972010","chandrasembada","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","1","2024-01-18 18:24 | Variasi: 41"
"1752462696-1275","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-12-19 16:00 | Variasi: 41"
"1752462696-1276","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/26701402","umarwahid","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-12-14 17:14 | Variasi: 40"
"1752462696-1277","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/12706354","arifputra18","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-12-20 05:05 | Variasi: 41"
"1752462696-1278","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","/shop/82142320","adeliapermatamaharani","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-06-09 11:03 | Variasi: 42"
"1752462696-1279","https://shopee.co.id/910-Nineten-Haze-Tempo-Sepatu-Lari-Olive-Kuning-Tembaga-i.86817902.24856280852","","","[{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""},{""rating"":"""",""rating-x"":""0""}]","","","","Membantu?","2024-09-30 23:58 | Variasi: 42"
